지점명_표준,종목,입점형태,오픈일,평형 수(전용면적),주차 시설,웨이트브랜드,웨이트기구,유산소_유무,유산소브랜드,트레드밀,GX_유무,GX프로그램,G.X,안마의자_유무,안마의자,스트레칭존_유무,스트레칭존,부대시설_유무,부대시설
 매탄점,헬스,신규,2016-05-22,350평 ,3시간 무료 이용 ,"뉴텍, 매트릭스, 아틀란티스, 테크노짐, 프리모션","아틀란티스, 뉴텍,테크노짐,매트릭스,프리모션",TRUE,"매트릭스, 헤라","매트릭스, 헤라(헬스원)",FALSE,,x ,TRUE,o,TRUE,o,TRUE,"목욕탕 , 사우나 "
 목원대점,헬스,신규,,150평,,"뉴텍온힘, 부티빌더, 싸이벡스, 아스날, 파나타, 해머스트렝스","파나타,아스날,부티빌더,뉴텍온힘,해머스트랭스,싸이벡스",TRUE,"매트릭스, 스텝밀, 싸이클","매트릭스 ( 런닝머신 ,스텝밀,싸이클 )",FALSE,,X,FALSE,X,TRUE,O,FALSE,X
 문래역점,헬스,신규,2021-03-15,180평,"홈플러스 지하2층,지상3,4,5층 (4시간 무료),4시간 이후 추가요금 발생",뉴택,뉴택,TRUE,매트릭스,매트릭스,FALSE,,X,TRUE,O,TRUE,O,FALSE,X
 문정점,헬스,신규,,,,"뉴텍, 다이나믹, 부티빌더, 왓슨, 짐레코, 파나타, 프라임","파나타,왓슨,프라임,다이나믹,뉴텍,부티빌더,짐레코",TRUE,"DRAX, 매트릭스, 스텝밀, 싸이클","매트릭스(러닝머신,스텝밀,싸이클) / 디랙스(마이마운틴)",FALSE,,없음,FALSE,,FALSE,,FALSE,
 병점점,헬스·골프,인수,,,,"뉴텍신형, 다이나믹, 렙콘, 부티빌더, 신코, 싸이벡스, 왓슨, 파나타, 해머스트렝스","파나타, 왓슨, 사이벡스, 해머스트랭스, 부티빌더, 사이벡스, 다이나믹, 뉴텍신형, 신코, 렙콘",TRUE,"매트릭스, 스텝밀, 싸이클","매트릭스 ( 런닝머신 ,스텝밀,싸이클 )",TRUE,기구필라테스스,기구필라테스스,FALSE,,FALSE,,FALSE,
 복대점,헬스·필라테스,신규,2020-01-01,350평대,"지하주차장 2시간 무료, 30분에 1000원","뉴텍, 아스날, 테크노짐, 해머스트렝스","뉴텍, 아스널, 해머스트렝스, 테크노짐, ",TRUE,애니피트니스,애니피트니스,TRUE,"줌바, 요가, 다이어트댄스","줌바,요가,다이어트댄스",FALSE,x,TRUE,o,FALSE,x
 분당 정자점,헬스·필라테스,,,350,건물내 지하추자창 무료 2시간,"뉴텍, 부티빌더, 아스날, 왓슨, 짐레코, 짐팔공, 파나타, 포커스, 프라임, 헤머스트랭스","파나타, 왓슨, 프라임, 헤머스트랭스, 아스날, 부티빌더, 포커스, 짐레코, 짐팔공, 뉴텍",TRUE,"매트릭스, 스텝밀","매트릭스(런닝머신, 스텝밀) 디렉스(마이마운틴) 비전(싸이클) 싸이벡스(아크트레이너)",TRUE,기구필라테스 6:1,기구필라테스 6:1,FALSE,0,FALSE,0,TRUE,라운지
 비전점,헬스·필라테스·골프,인수,2019-07-03,450평,3시간 가능(초과시 30분 1000원),"뉴텍, 다이나벡, 라이프휘트니스, 로져스, 프라임, 프리모션, 해머스트렝스","뉴텍,해머스트렝스,라이프휘트니스,프리모션,프라임,로져스,다이나벡",TRUE,"애니휘트니스, 헬스원싸이클","애니휘트니스,헬스원싸이클",TRUE,"스피닝, 줌바, 요가, 플라잉요가","스피닝,줌바,요가,플라잉요가",FALSE,X,TRUE,O,FALSE,X
 사상점,헬스·필라테스,인수,2019-04-01,250평,건물타워주차 2시간30분무료 / 초과시 30분당 1500원,"뉴텍, 테크노짐","뉴텍, 테크노짐",TRUE,"사노트리노트렌드밀, 헬스원싸이클",사노트리노트렌드밀 / 헬스원싸이클,FALSE,,x,FALSE,x,TRUE,O,FALSE,X
 상암MBC점,헬스·필라테스,신규,2021-04-15,300평,"MBC몰 주차장(3번 게이트) 2시간 무료
초과 시, 10분 500원","뉴텍, 라이프휘트니스, 아스날, 테크노짐, 파나타, 프라임, 프리모션, 해머스트렝스","뉴텍, 테크노짐, 라이프피트니스
해머스트렝스, 프리모션, 파나타, 아스날스트랭스, 프라임 ",TRUE,헤라9000,헤라9000,FALSE,,X,FALSE,X,TRUE,O,FALSE,X
